Date;Workout;Goal;Period;Week;Day;Time;Set 1;Set 2;Set 3;Set 4;Set 5;Sum of Sets;Kcal
12/4/2023 8:24 PM;Plank;10:00;6 weeks;1;2;06:39;00:20;00:25;00:20;00:20;01:05;02:30;28
12/12/2023 11:40 PM;Push-ups;100;6 weeks;1;3;06:46;13;17;13;12;20;75;18
12/12/2023 11:49 PM;Plank;10:00;6 weeks;1;3;07:02;00:25;00:30;00:25;00:20;01:10;02:50;31
12/15/2023 5:14 PM;Push-ups;100;6 weeks;2;1;08:10;14;17;14;12;25;82;23
12/15/2023 5:26 PM;Plank;10:00;6 weeks;2;1;08:28;00:30;00:35;00:30;00:25;01:20;03:20;37
12/18/2023 11:33 PM;Push-ups;100;6 weeks;2;2;08:12;14;19;14;13;27;87;28
12/18/2023 11:44 PM;Plank;10:00;6 weeks;2;2;08:43;00:35;00:40;00:35;00:30;01:11;03:31;39
12/21/2023 11:12 PM;Push-ups;100;6 weeks;2;3;13:13;16;20;16;14;30;96;29
12/21/2023 11:33 PM;Plank;10:00;6 weeks;2;3;10:15;00:40;00:50;00:40;00:35;02:01;04:46;53
12/24/2023 11:49 PM;Push-ups;100;6 weeks;3;1;09:12;17;21;17;15;25;95;24
12/25/2023 12:02 AM;Plank;10:00;6 weeks;3;1;11:29;00:45;01:00;00:45;00:40;02:11;05:21;59
12/29/2023 2:15 AM;Push-ups;100;6 weeks;3;2;12:27;18;23;18;16;27;102;33
12/29/2023 2:44 AM;Plank;10:00;6 weeks;3;2;12:24;00:55;01:10;00:55;00:50;02:26;06:16;70
1/4/2024 10:19 PM;Push-ups;100;6 weeks;3;3;10:45;20;25;20;17;30;112;31
1/4/2024 10:33 PM;Plank;10:00;6 weeks;3;3;12:10;01:05;01:20;01:05;00:55;01:37;06:02;67
1/6/2024 11:29 PM;Push-ups;100;6 weeks;4;1;10:35;21;27;21;19;30;118;32
1/6/2024 11:41 PM;Plank;10:00;6 weeks;4;1;14:13;01:10;01:30;01:10;01:05;02:10;07:05;79
1/10/2024 12:53 AM;Push-ups;100;6 weeks;4;2;11:54;23;29;23;21;32;128;33
1/10/2024 1:09 AM;Plank;10:00;6 weeks;4;2;15:37;01:25;01:50;01:25;01:15;02:05;08:00;89
1/11/2024 10:55 PM;Push-ups;100;6 weeks;4;3;15:52;25;32;25;23;38;143;33
1/11/2024 11:23 PM;Plank;10:00;6 weeks;4;3;16:44;01:40;02:05;01:40;01:25;02:16;09:06;101
1/15/2024 11:55 PM;Push-ups;100;6 weeks;5;1;19:55;27;35;27;24;41;154;75
1/16/2024 12:21 AM;Plank;10:00;6 weeks;5;1;19:47;01:50;02:20;01:50;01:35;02:40;10:15;114
1/19/2024 7:58 PM;Push-ups;100;6 weeks;5;2;12:47;30;38;30;26;11;135;31
1/22/2024 11:17 PM;Push-ups;100;6 weeks;5;2;15:05;30;38;30;26;43;167;37
1/22/2024 11:40 PM;Plank;10:00;6 weeks;5;2;27:20;02:05;02:40;02:05;01:50;03:13;11:53;132
1/29/2024 10:51 PM;Push-ups;100;6 weeks;5;3;22:39;33;42;33;29;46;183;54
2/27/2024 7:45 PM;Push-ups;100;6 weeks;4;1;12:13;21;27;21;19;35;123;35
2/27/2024 8:16 PM;Plank;10:00;6 weeks;4;1;13:58;01:10;01:30;01:10;01:05;01:52;06:47;75
2/29/2024 10:50 PM;Push-ups;100;6 weeks;4;2;13:44;23;29;23;21;35;131;39
2/29/2024 11:12 PM;Plank;10:00;6 weeks;4;2;18:27;01:25;01:50;01:25;01:15;02:20;08:15;92
